13000, 300, 190, 0, 0,  0, 0, 0,4.5813e-10,0
13000.1, 299.803, 189.908, 0, 0,  0, 0, 0,4.5813e-10,0
13000.1, 299.663, 189.816, 0, 0,  0, 0, 0,4.5813e-10,0
13000.2, 299.522, 189.724, 0, 0,  0, 0, 0,4.5813e-10,0
13000.3, 299.383, 189.632, 0, 0,  0, 0, 0,4.5813e-10,0
13000.3, 299.244, 189.54, 0, 0,  0, 0, 0,4.5813e-10,0
13000.4, 299.105, 189.448, 0, 0,  0, 0, 0,4.5813e-10,0
13000.4, 298.967, 189.357, 0, 0,  0, 0, 0,4.5813e-10,0
13000.5, 298.83, 189.265, 0, 0,  0, 0, 0,4.5813e-10,0
13000.6, 298.693, 189.173, 0, 0,  0, 0, 0,4.5813e-10,0
13000.6, 298.556, 189.081, 0, 0,  0, 0, 0,4.5813e-10,0
13000.7, 298.42, 188.989, 0, 0,  0, 0, 0,4.5813e-10,0
13000.7, 298.285, 188.897, 0, 0,  0, 0, 0,4.5813e-10,0
13000.8, 298.15, 188.805, 0, 0,  0, 0, 0,4.5813e-10,0
13000.9, 298.015, 188.713, 0, 0,  0, 0, 0,4.5813e-10,0
13000.9, 297.881, 188.621, 0, 0,  0, 0, 0,4.5813e-10,0
13001, 297.748, 188.529, 0, 0,  0, 0, 0,4.5813e-10,0
13001.1, 297.615, 188.437, 0, 0,  0, 0, 0,4.5813e-10,0
13001.1, 297.482, 188.345, 0, 0,  0, 0, 0,4.5813e-10,0
13001.2, 297.35, 188.254, 0, 0,  0, 0, 0,4.5813e-10,0
13001.2, 297.219, 188.162, 0, 0,  0, 0, 0,4.5813e-10,0
13001.3, 297.088, 188.07, 0, 0,  0, 0, 0,4.5813e-10,0
13001.4, 296.957, 187.978, 0, 0,  0, 0, 0,4.5813e-10,0
13001.4, 296.827, 187.886, 0, 0,  0, 0, 0,4.5813e-10,0
13001.5, 296.698, 187.794, 0, 0,  0, 0, 0,4.5813e-10,0
13001.6, 296.568, 187.702, 0, 0,  0, 0, 0,4.5813e-10,0
13001.6, 296.44, 187.61, 0, 0,  0, 0, 0,4.5813e-10,0
13001.7, 296.312, 187.518, 0, 0,  0, 0, 0,4.5813e-10,0
13001.7, 296.184, 187.426, 0, 0,  0, 0, 0,4.5813e-10,0
13001.8, 296.057, 187.334, 0, 0,  0, 0, 0,4.5813e-10,0
13001.9, 295.93, 187.242, 0, 0,  0, 0, 0,4.5813e-10,0
13001.9, 295.804, 187.151, 0, 0,  0, 0, 0,4.5813e-10,0
13002, 295.678, 187.059, 0, 0,  0, 0, 0,4.5813e-10,0
13002, 295.553, 186.967, 0, 0,  0, 0, 0,4.5813e-10,0
13002.1, 295.428, 186.875, 0, 0,  0, 0, 0,4.5813e-10,0
13002.2, 295.304, 186.783, 0, 0,  0, 0, 0,4.5813e-10,0
13002.2, 295.18, 186.691, 0, 0,  0, 0, 0,4.5813e-10,0
13002.3, 295.056, 186.599, 0, 0,  0, 0, 0,4.5813e-10,0
13002.4, 294.933, 186.507, 0, 0,  0, 0, 0,4.5813e-10,0
13002.4, 294.811, 186.415, 0, 0,  0, 0, 0,4.5813e-10,0
13002.5, 294.689, 186.323, 0, 0,  0, 0, 0,4.5813e-10,0
13002.5, 294.568, 186.231, 0, 0,  0, 0, 0,4.5813e-10,0
13002.6, 294.447, 186.14, 0, 0,  0, 0, 0,4.5813e-10,0
13002.7, 294.326, 186.048, 0, 0,  0, 0, 0,4.5813e-10,0
13002.7, 294.206, 185.956, 0, 0,  0, 0, 0,4.5813e-10,0
13002.8, 294.087, 185.864, 0, 0,  0, 0, 0,4.5813e-10,0
13002.8, 293.968, 185.772, 0, 0,  0, 0, 0,4.5813e-10,0
13002.9, 293.849, 185.68, 0, 0,  0, 0, 0,4.5813e-10,0
13003, 293.731, 185.588, 0, 0,  0, 0, 0,4.5813e-10,0
13003, 293.613, 185.496, 0, 0,  0, 0, 0,4.5813e-10,0
13003.1, 293.496, 185.404, 0, 0,  0, 0, 0,4.5813e-10,0
13003.2, 293.379, 185.312, 0, 0,  0, 0, 0,4.5813e-10,0
13003.2, 293.263, 185.221, 0, 0,  0, 0, 0,4.5813e-10,0
13003.3, 293.147, 185.129, 0, 0,  0, 0, 0,4.5813e-10,0
13003.3, 293.032, 185.037, 0, 0,  0, 0, 0,4.5813e-10,0
13003.4, 292.917, 184.945, 0, 0,  0, 0, 0,4.5813e-10,0
13003.5, 292.802, 184.853, 0, 0,  0, 0, 0,4.5813e-10,0
13003.5, 292.688, 184.761, 0, 0,  0, 0, 0,4.5813e-10,0
13003.6, 292.575, 184.669, 0, 0,  0, 0, 0,4.5813e-10,0
13003.6, 292.461, 184.577, 0, 0,  0, 0, 0,4.5813e-10,0
13003.7, 292.349, 184.485, 0, 0,  0, 0, 0,4.5813e-10,0
13003.8, 292.237, 184.393, 0, 0,  0, 0, 0,4.5813e-10,0
13003.8, 292.125, 184.301, 0, 0,  0, 0, 0,4.5813e-10,0
13003.9, 292.013, 184.21, 0, 0,  0, 0, 0,4.5813e-10,0
13004, 291.903, 184.118, 0, 0,  0, 0, 0,4.5813e-10,0
13004, 291.792, 184.026, 0, 0,  0, 0, 0,4.5813e-10,0
13004.1, 291.682, 183.934, 0, 0,  0, 0, 0,4.5813e-10,0
13004.1, 291.573, 183.842, 0, 0,  0, 0, 0,4.5813e-10,0
13004.2, 291.463, 183.75, 0, 0,  0, 0, 0,4.5813e-10,0
13004.3, 291.355, 183.658, 0, 0,  0, 0, 0,4.5813e-10,0
13004.3, 291.247, 183.566, 0, 0,  0, 0, 0,4.5813e-10,0
13004.4, 291.139, 183.474, 0, 0,  0, 0, 0,4.5813e-10,0
13004.4, 291.031, 183.383, 0, 0,  0, 0, 0,4.5813e-10,0
13004.5, 290.925, 183.291, 0, 0,  0, 0, 0,4.5813e-10,0
13004.6, 290.818, 183.199, 0, 0,  0, 0, 0,4.5813e-10,0
13004.6, 290.712, 183.107, 0, 0,  0, 0, 0,4.5813e-10,0
13004.7, 290.607, 183.015, 0, 0,  0, 0, 0,4.5813e-10,0
13004.8, 290.501, 182.923, 0, 0,  0, 0, 0,4.5813e-10,0
13004.8, 290.397, 182.831, 0, 0,  0, 0, 0,4.5813e-10,0
13004.9, 290.293, 182.739, 0, 0,  0, 0, 0,4.5813e-10,0
13004.9, 290.189, 182.647, 0, 0,  0, 0, 0,4.5813e-10,0
13005, 290.085, 182.555, 0, 0,  0, 0, 0,4.5813e-10,0
13005.1, 289.983, 182.464, 0, 0,  0, 0, 0,4.5813e-10,0
13005.1, 289.88, 182.372, 0, 0,  0, 0, 0,4.5813e-10,0
13005.2, 289.778, 182.28, 0, 0,  0, 0, 0,4.5813e-10,0
13005.2, 289.676, 182.188, 0, 0,  0, 0, 0,4.5813e-10,0
